YEAR,STATE,WRITTEN_SIGNED_COMPLAINTS_WSC_TOTAL,WSC_WITH_REPORTS_ISSUED_TOTAL,WSC_REPORTS_WITH_FINDINGS,WSC_REPORTS_WITHIN_TIMELINE,WSC_REPORTS_WITHIN_EXTENDED_TIMELINES,WSC_WITHDRAWN_OR_DISMISSED,WSC_PENDING_TOTAL,WSC_PENDING_A_DUE_PROCESS_HEARING,MEDIATION_REQUESTS_TOTAL,MEDIATIONS_HELD_TOTAL,MEDIATIONS_HELD_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATION_AGREEMENTS_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATIONS_HELD_NOT_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATION_AGREEMENTS_NOT_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATIONS_PENDING,DUE_PROCESS_COMPLAINTS_DPC_TOTAL,DPC_RESOLUTION_MEETINGS_TOTAL,DPC_RESOLUTION_MEETINGS_WRITTEN_SETTLEMENT_AGREEMENTS,DPC_HEARINGS_FULLY_ADJUDICATED_TOTAL,DPC_WRITTEN_DECISIONS_WITHIN_TIMELINE,DPC_WRITTEN_DECISIONS_WITHIN_EXTENDED_TIMELINES,DPC_WITHDRAWN_OR_DISMISSED,EXPEDITED_DUE_PROCESS_COMPLAINTS_EDPC_TOTAL,EDPC_RESULTED_IN_A_RESOLUTION_MEETING_TOTAL,EDPC_RESOLUTION_MEETINGS_WRITTEN_SETTLEMENT_AGREEMENTS,EDPC_EXPEDITED_HEARINGS_FULLY_ADJUDICATED_TOTAL,EDPC_EXPEDITED_HEARINGS_CHANGE_OF_PLACEMENT_ORDERED,MEDIATIONS_WITHDRAWN_OR_NOT_HELD,DPC_PENDING,EDPC_PENDING,EDPC_WITHDRAWN_OR_DISMISSED
2008,50 states DC and PR including BIE scho               ,"4,983","3,379","2,359","3,019",306,150,72,"1,454","8,763","6,045","3,196","2,006","2,849","2,231","2,718",18009,"7,936","2,088","2,901","1,326",876,"12,507",312,128,73,32,5,,,,
2009,Alabama,45,32,16,32,0,13,0,0,75,41,12,9,29,25,2,89,55,33,2,1,1,66,0,0,0,0,0,32,21,0,0
2009,Alaska,15,13,6,13,0,2,0,0,6,5,0,0,5,5,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
2009,American Samoa,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,Arizona,94,74,47,74,0,20,0,0,52,42,9,7,33,29,0,56,38,17,7,4,3,39,4,3,1,1,0,10,10,0,3
2009,Arkansas,27,13,12,12,1,13,1,0,26,17,0,0,17,15,0,24,10,10,4,4,0,15,0,0,0,0,0,9,5,0,0
2009,BIE schools,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,California,811,550,550,512,38,0,261,0,"2,654","1,437","1,285",766,152,101,364,2680,493,248,95,19,75,"1,950",51,11,-,2,0,853,635,9,40
2009,Colorado,17,12,7,8,3,5,0,0,39,33,6,6,27,15,2,20,8,5,4,2,2,15,5,1,0,1,1,4,1,0,4
2009,Connecticut,161,97,65,91,4,59,5,0,270,195,65,35,130,95,42,207,78,62,9,3,5,143,9,3,0,1,0,33,55,1,7
2009,Delaware,15,10,7,7,2,5,0,0,10,6,6,0,0,0,0,20,4,1,4,3,0,15,1,0,0,0,0,4,1,0,1
2009,District of Columbia,12,7,6,4,2,3,2,0,22,5,3,2,2,1,2,1426,"1,397",679,282,184,92,"1,141",25,20,13,7,1,15,3,0,18
2009,Florida,101,61,34,58,3,37,3,1,83,53,21,12,32,23,2,133,72,46,8,5,3,98,23,8,3,1,0,28,27,3,19
2009,Georgia,82,63,34,61,2,19,0,0,84,61,10,6,51,36,0,78,44,23,3,0,3,69,0,0,0,0,0,23,6,0,0
2009,Guam,40,27,22,27,0,13,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2009,Hawaii,14,13,4,9,4,0,1,1,7,5,2,0,3,1,1,148,139,50,42,9,33,77,1,0,0,0,0,1,29,0,1
2009,Idaho,27,22,16,14,1,5,0,0,10,7,0,0,7,7,0,10,2,1,1,0,1,9,2,1,1,0,0,3,0,0,2
2009,Illinois,120,92,70,83,9,28,0,0,164,134,96,70,38,34,13,331,89,39,22,5,1,216,7,4,3,2,1,17,93,0,5
2009,Indiana,102,74,60,64,10,28,0,0,44,36,5,3,31,22,0,71,58,38,5,0,4,62,1,0,0,0,0,8,4,0,1
2009,Iowa,13,7,5,1,6,4,2,0,31,21,7,4,14,12,1,11,0,0,1,0,1,7,0,0,0,0,0,9,3,0,0
2009,Kansas,30,18,11,0,0,12,0,0,20,17,2,0,15,14,0,12,5,3,1,1,0,11,2,0,0,1,0,3,0,0,1
2009,Kentucky,30,15,11,14,1,15,0,0,19,17,3,3,14,11,0,27,21,6,1,0,1,14,0,0,0,0,0,2,12,0,0
2009,Louisiana,25,10,8,5,5,13,2,0,7,6,5,3,1,1,0,23,12,8,5,3,2,17,1,1,1,0,0,1,1,0,1
2009,Maine,53,11,6,6,5,42,0,0,113,57,19,13,38,31,0,42,8,2,0,0,0,39,2,0,0,0,0,56,3,0,2
2009,Maryland,118,101,79,98,3,16,1,1,262,136,52,37,84,64,11,251,111,78,20,4,16,221,4,1,0,0,0,115,10,0,4
2009,Massachusetts,240,158,113,151,7,64,18,17,958,854,39,35,815,706,27,545,38,21,18,4,13,299,41,1,1,3,1,77,228,16,22
2009,Michigan,204,133,79,117,15,70,1,0,145,84,1,1,83,70,18,65,54,25,5,3,2,43,18,17,10,3,0,43,17,0,15
2009,Minnesota,65,44,33,34,10,21,0,0,76,47,0,0,47,43,0,26,24,0,3,0,3,13,1,1,0,0,0,29,10,0,1
2009,Mississippi,13,5,0,5,0,8,0,0,20,15,6,4,9,3,0,15,15,6,4,2,2,11,0,0,0,0,0,5,0,0,0
2009,Missouri,106,87,37,84,3,15,4,3,41,30,4,1,26,26,5,60,29,16,2,1,1,45,5,3,2,1,1,6,13,0,4
2009,Montana,6,4,0,4,0,2,0,0,4,2,2,2,0,0,1,8,3,0,0,0,0,2,0,0,0,0,0,1,6,0,0
2009,Nebraska,4,3,2,3,0,1,0,0,4,4,1,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2009,Nevada,10,7,4,6,1,0,3,0,9,6,3,2,3,2,1,59,55,21,1,1,0,43,6,6,5,0,0,2,15,1,5
2009,New Hampshire,103,63,32,32,6,37,3,3,30,22,7,6,15,12,4,56,13,9,6,5,1,40,0,0,0,0,0,4,10,0,0
2009,New Jersey,253,105,43,82,8,95,53,15,672,530,302,65,228,103,17,814,35,20,54,36,18,602,11,0,0,1,0,125,158,0,10
2009,New Mexico,23,13,7,12,1,10,0,0,34,31,20,17,11,8,2,39,7,7,3,0,3,30,2,0,0,0,0,1,6,0,2
2009,New York,306,217,166,201,15,88,1,0,257,154,13,13,141,123,6,6078,"5,277",541,425,94,261,"4,725",25,20,2,6,1,97,928,2,17
2009,North Carolina,75,51,42,44,6,24,0,0,64,39,12,7,27,21,3,54,35,22,2,1,1,39,3,3,2,1,0,22,13,0,2
2009,North Dakota,3,2,2,2,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,Northern Marianas,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ohio,252,96,48,80,16,128,28,1,109,94,43,30,51,47,5,146,66,35,2,0,2,116,21,13,13,0,0,10,28,1,20
2009,Oklahoma,32,25,17,25,0,7,0,0,20,15,0,0,15,10,0,38,30,22,2,2,0,35,0,0,0,0,0,5,1,0,0
2009,Oregon,40,17,10,11,6,22,1,0,74,37,13,12,24,21,12,33,2,0,3,1,2,21,3,1,0,1,0,25,9,0,2
2009,Pennsylvania,304,126,78,120,0,171,7,7,412,193,78,20,115,112,56,782,335,235,66,21,45,503,28,8,6,3,1,163,213,2,23
2009,Puerto Rico,77,64,40,62,2,13,0,0,537,411,362,258,49,46,14,2068,831,515,"1,152",707,90,845,0,0,0,0,0,112,71,0,0
2009,Rhode Island,39,30,16,15,1,9,0,0,62,53,0,0,53,37,0,23,1,1,2,0,2,19,3,0,0,0,0,9,2,0,3
2009,South Carolina,40,27,23,27,0,13,0,0,5,2,0,0,2,2,0,13,10,6,3,2,1,10,2,2,2,0,0,3,0,0,2
2009,South Dakota,6,3,2,3,0,3,0,0,8,8,2,2,6,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2009,Tennessee,99,60,18,57,3,5,34,5,36,21,11,7,10,9,7,42,16,9,1,0,1,24,0,0,0,0,0,8,17,0,0
2009,Texas,327,138,62,135,3,180,9,9,349,200,132,104,68,51,81,331,134,43,25,7,18,242,8,3,0,3,2,68,64,0,5
2009,Utah,7,6,4,6,0,1,0,0,4,1,0,0,1,1,0,7,7,7,0,0,0,7,0,0,0,0,0,3,0,0,0
2009,Vermont,22,13,6,11,2,3,6,0,42,32,13,12,19,16,5,18,3,2,2,2,0,15,0,0,0,0,0,5,1,0,0
2009,Virgin Islands,8,7,7,7,0,1,0,0,6,5,5,0,0,0,0,21,7,7,6,4,2,14,0,0,0,0,0,1,1,0,0
2009,Virginia,132,99,60,91,8,33,0,0,119,76,20,9,56,47,21,79,50,19,12,11,1,60,10,3,0,1,0,22,7,0,9
2009,Washington,35,28,23,25,3,6,1,1,57,24,8,7,16,13,4,108,70,27,5,1,4,88,5,4,2,1,0,29,15,0,4
2009,West Virginia,39,17,12,12,2,22,0,0,10,7,1,0,6,6,0,12,8,8,2,0,2,10,0,0,0,0,0,3,0,0,0
2009,Wisconsin,82,67,49,66,1,14,1,1,70,46,7,4,39,38,1,20,3,2,4,0,4,14,0,0,0,0,0,23,2,0,0
2009,Wyoming,14,11,8,9,2,3,0,0,4,4,0,0,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,50 states DC and PR including BIE schools            ,"4,872","3,015","2,090","2,698",221,"1,409",448,65,"8,233","5,374","2,708","1,594","2,666","2,125",731,17205,"9,797","2,968","2,322","1,150",720,"12,128",330,138,67,40,9,"2,128","2,755",35,255
2009,US and Outlying Areas,"4,922","3,051","2,121","2,733",222,"1,423",448,65,"8,240","5,380","2,714","1,595","2,666","2,125",731,17228,"9,806","2,975","2,329","1,154",723,"12,142",330,138,67,40,9,"2,129","2,757",35,255
2010,Alabama,28,21,14,21,0,7,0,0,56,26,7,5,19,17,0,122,70,12,3,1,2,81,2,2,0,2,1,30,38,0,0
2010,Alaska,7,6,3,6,0,1,0,0,10,9,1,0,8,7,1,6,6,1,3,1,2,2,0,0,0,0,0,0,1,0,0
2010,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Arizona,101,81,53,81,0,19,1,1,60,29,6,3,23,17,4,56,34,19,6,2,4,42,4,4,3,1,0,27,8,0,3
2010,Arkansas,49,23,19,20,3,26,0,0,12,10,1,1,9,9,0,30,30,23,4,0,4,26,0,0,0,0,0,2,0,0,0
2010,Bur of Indian Education,3,3,2,0,0,0,0,0,4,4,1,1,3,3,0,4,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0
2010,California,1023,755,504,743,12,268,0,0,2931,1598,1449,990,149,85,298,2747,578,158,105,7,98,2015,77,10,2,4,1,1035,627,2,71
2010,Colorado,14,11,6,11,0,3,0,0,48,34,8,5,26,19,3,19,5,4,1,0,1,18,3,1,1,0,0,11,0,0,3
2010,Connecticut,188,101,65,93,4,81,6,1,295,230,95,56,135,94,39,222,64,46,15,4,11,159,6,2,2,1,1,26,48,1,4
2010,Delaware,6,3,2,3,0,2,1,0,11,8,3,2,5,4,1,7,0,0,0,0,0,7,1,0,0,0,0,2,0,0,1
2010,District of Columbia,23,14,12,14,0,9,0,0,25,19,4,3,15,15,1,1527,1111,380,274,243,27,1183,61,44,17,10,1,5,70,2,49
2010,Florida,97,56,33,50,6,40,1,0,83,61,27,17,34,22,3,187,82,42,10,7,3,153,17,7,5,1,1,19,24,0,16
2010,Georgia,87,55,25,55,0,32,0,0,88,68,16,5,52,38,0,69,48,12,3,0,3,61,6,4,2,0,0,20,5,0,6
2010,Guam,17,14,10,14,0,3,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0
2010,Hawaii,14,14,4,14,0,0,0,0,9,9,7,6,2,1,0,139,131,62,27,2,25,68,2,2,1,0,0,0,44,0,2
2010,Idaho,21,14,13,13,0,7,0,0,25,18,4,3,14,13,0,8,2,2,4,2,2,4,0,0,0,0,0,7,0,0,0
2010,Illinois,106,76,53,66,9,27,3,1,180,148,102,68,46,38,17,298,96,30,12,1,6,206,11,3,2,1,1,15,80,0,10
2010,Indiana,109,65,48,59,6,44,0,0,39,32,3,1,29,18,0,63,48,40,9,1,6,54,5,4,4,0,0,7,0,0,5
2010,Iowa,15,13,5,3,10,2,0,0,31,18,2,2,16,13,3,9,3,3,0,0,0,9,0,0,0,0,0,10,0,0,0
2010,Kansas,18,14,11,14,0,4,0,0,23,21,4,2,17,15,0,12,5,4,1,0,1,10,1,0,0,0,0,2,1,0,1
2010,Kentucky,20,11,11,8,3,8,1,1,28,23,10,8,13,10,1,17,11,6,0,0,0,12,0,0,0,0,0,4,5,0,0
2010,Louisiana,34,13,4,6,5,20,1,1,4,3,2,0,1,0,0,19,15,11,2,1,1,16,5,3,3,1,0,1,1,1,3
2010,Maine,63,24,13,13,11,39,0,0,113,51,15,9,36,28,0,30,10,2,2,0,2,26,4,0,0,0,0,62,2,0,4
2010,Maryland,107,82,59,77,5,25,0,0,277,139,65,45,74,63,23,268,112,72,25,10,15,217,5,2,1,2,0,115,26,0,3
2010,Massachusetts,274,195,157,192,1,62,17,16,1036,809,46,37,763,660,60,544,39,24,19,2,16,347,8,0,0,0,0,167,178,2,6
2010,Michigan,199,141,95,121,19,56,2,0,144,93,13,7,80,65,11,67,51,33,4,1,1,47,15,9,6,3,0,40,16,1,11
2010,Minnesota,80,51,41,33,15,23,6,0,73,43,1,1,42,39,2,26,18,0,2,0,2,17,0,0,0,0,0,28,7,0,0
2010,Mississippi,30,17,12,14,2,13,0,0,14,8,1,1,7,4,0,16,5,5,2,1,0,14,0,0,0,0,0,6,0,0,0
2010,Missouri,58,48,18,48,0,9,1,0,55,43,7,7,36,34,3,79,51,10,3,1,2,60,5,5,2,1,0,9,16,0,4
2010,Montana,13,10,10,5,5,2,1,0,13,9,9,8,0,0,1,12,0,0,0,0,0,11,0,0,0,0,0,3,1,0,0
2010,Nebraska,11,8,4,8,0,3,0,0,5,4,0,0,4,4,0,5,2,0,0,0,0,4,0,0,0,0,0,1,1,0,0
2010,Nevada,8,7,0,7,0,0,1,0,2,0,0,0,0,0,0,69,62,35,2,0,2,52,10,9,6,0,0,2,15,0,10
2010,New Hampshire,64,38,22,38,0,26,0,0,32,30,8,6,22,12,0,58,14,10,12,5,7,46,0,0,0,0,0,2,0,0,0
2010,New Jersey,219,102,36,72,11,98,19,10,687,536,308,65,228,96,31,906,33,20,48,36,11,646,7,0,0,6,0,120,212,0,1
2010,New Mexico,37,22,17,21,0,15,0,0,36,32,16,10,16,15,2,44,17,17,2,0,2,31,0,0,0,0,0,2,11,0,0
2010,New York,283,201,167,179,22,76,6,0,186,144,6,5,138,115,6,6147,5492,504,381,81,240,4578,34,34,8,6,2,36,1188,5,23
2010,North Carolina,75,44,28,38,5,31,0,0,64,33,11,5,22,13,5,72,49,21,4,1,3,55,8,7,3,0,0,26,13,1,7
2010,North Dakota,4,3,1,3,0,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2010,Northern Marianas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010,Ohio,251,82,30,63,19,158,11,4,140,91,36,28,55,41,21,135,57,28,1,1,0,106,18,9,7,0,0,28,28,0,18
2010,Oklahoma,37,34,34,33,1,3,0,0,22,18,3,2,15,15,0,27,18,7,1,0,1,23,1,1,0,0,0,4,3,0,1
2010,Oregon,37,18,14,13,5,19,0,0,62,42,16,14,26,24,4,29,1,0,0,0,0,20,1,1,0,0,0,16,9,0,1
2010,Pennsylvania,258,125,85,124,1,127,6,6,442,217,27,15,190,151,64,722,337,128,61,17,44,531,20,12,11,3,2,161,130,0,17
2010,Puerto Rico,67,59,34,57,2,8,0,0,587,315,275,258,40,38,42,1918,610,375,900,620,79,766,2,0,0,2,0,230,252,0,0
2010,Rhode Island,36,33,27,32,0,3,0,0,77,59,0,0,59,39,1,24,4,4,10,6,3,12,1,0,0,0,0,17,2,1,0
2010,South Carolina,41,28,24,28,0,13,0,0,4,2,1,1,1,1,0,12,8,6,0,0,0,12,1,1,1,0,0,2,0,0,1
2010,South Dakota,7,6,4,6,0,1,0,0,4,4,0,0,4,3,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2010,Tennessee,111,65,22,65,0,18,28,18,45,23,14,13,9,7,11,73,19,13,0,0,0,64,1,1,0,0,0,11,9,0,1
2010,Texas,327,150,73,146,4,166,11,11,297,190,112,87,78,65,49,293,89,20,14,0,14,216,12,6,4,0,0,58,63,0,12
2010,Utah,20,19,6,19,0,0,1,0,7,6,3,2,3,3,0,9,4,4,0,0,0,9,0,0,0,0,0,1,0,0,0
2010,Vermont,15,13,9,12,1,2,0,0,32,22,6,5,16,14,1,8,1,1,0,0,0,8,0,0,0,0,0,9,0,0,0
2010,Virgin Islands,14,0,0,0,0,14,0,0,7,4,3,3,1,1,0,14,6,6,0,0,0,12,0,0,0,0,0,3,2,0,0
2010,Virginia,160,105,53,93,12,54,1,0,123,87,12,9,75,59,12,65,44,25,9,8,1,55,10,6,5,1,0,24,1,0,9
2010,Washington,47,41,37,39,2,4,2,2,47,27,7,5,20,16,0,102,62,14,10,2,8,69,10,8,1,2,1,20,23,0,8
2010,West Virginia,41,22,18,20,1,19,0,0,18,17,4,3,13,7,0,13,3,3,3,0,3,9,0,0,0,0,0,1,1,0,0
2010,Wisconsin,54,40,28,40,0,14,0,0,76,52,7,5,45,40,5,24,9,5,3,0,3,18,0,0,0,0,0,19,3,0,0
2010,Wyoming,7,5,4,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,50 states DC and PR including BIE schools            ,5004,3187,2069,2944,202,1690,127,72,8684,5515,2781,1831,2734,2110,725,17363,9563,2243,1997,1064,655,12204,374,197,97,47,11,2444,3162,16,311
2010,US and Outlying Areas,5035,3201,2079,2958,202,1707,127,72,8693,5519,2784,1834,2735,2111,725,17380,9571,2251,1997,1064,655,12219,374,197,97,47,11,2449,3164,16,311
2011,Alabama,19,10,7,8,2,6,3,1,92,53,38,19,15,15,0,144,68,11,3,0,3,98,0,0,0,0,0,39,43,0,0
2011,Alaska,9,9,4,9,0,0,0,0,8,7,1,1,6,4,0,9,7,1,3,1,2,5,1,1,0,1,1,1,1,0,0
2011,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Arizona,95,75,48,75,0,19,1,1,58,35,10,9,25,20,4,58,29,13,6,0,5,37,0,0,0,0,0,19,15,0,0
2011,Arkansas,37,23,19,16,7,14,0,0,15,11,0,0,11,8,0,19,19,15,1,1,0,16,1,1,0,0,0,4,2,0,1
2011,Bureau of Indian Education,1,1,0,0,0,0,0,0,5,4,4,3,0,0,1,,-,-,-,-,-,-,0,0,0,0,0,0,-,0,0
2011,California,1039,780,780,765,15,259,0,0,3076,1807,1677,1051,130,90,424,3114,457,56,114,8,105,2800,62,8,2,6,0,845,200,0,56
2011,Colorado,12,6,6,5,1,6,0,0,36,22,6,5,16,13,2,21,9,5,0,0,0,19,1,0,0,0,0,12,2,0,1
2011,Connecticut,163,102,69,83,9,54,7,1,287,198,75,49,123,81,46,194,41,23,16,4,12,138,7,1,0,3,3,43,40,0,4
2011,Delaware,14,10,7,8,2,4,0,0,10,6,1,1,5,4,0,12,2,2,1,1,0,11,1,0,0,0,0,4,0,0,1
2011,District of Columbia,34,28,21,25,3,6,0,0,27,20,4,2,16,12,0,1009,773,208,268,222,46,740,64,43,16,16,1,7,1,0,48
2011,Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Florida,101,50,20,44,6,49,2,2,89,67,30,18,37,25,4,171,51,27,6,4,2,129,13,5,2,1,1,18,36,1,11
2011,Georgia,95,71,35,71,0,22,2,0,79,56,15,7,41,21,0,102,63,31,3,0,3,97,9,7,3,0,0,23,2,0,9
2011,Guam,9,5,4,5,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,Hawaii,18,16,2,16,0,2,0,0,5,5,3,3,2,2,0,105,98,49,19,0,19,50,0,0,0,0,0,0,36,0,0
2011,Idaho,21,13,10,13,0,8,0,0,34,23,2,2,21,19,0,10,8,3,2,0,2,8,0,0,0,0,0,11,0,0,0
2011,Illinois,129,87,57,79,5,37,5,0,217,174,106,80,68,53,16,333,94,36,14,2,8,246,9,3,2,0,0,27,73,0,9
2011,Indiana,103,58,44,57,1,45,0,0,42,34,4,0,30,26,0,67,53,44,2,1,0,65,9,8,8,1,0,8,0,0,8
2011,Iowa,9,6,3,4,2,3,0,0,31,25,7,3,18,13,1,11,4,2,2,0,2,6,0,0,0,0,0,5,3,0,0
2011,Kansas,36,20,14,20,0,16,0,0,10,9,4,2,5,5,0,11,6,4,1,1,0,10,5,2,2,1,1,1,0,0,4
2011,Kentucky,39,24,22,21,3,14,1,1,18,15,7,2,8,7,2,25,8,2,1,0,0,6,0,0,0,0,0,1,18,0,0
2011,Louisiana,46,21,10,13,8,22,3,0,9,5,3,2,2,2,1,18,14,5,4,0,4,13,0,0,0,0,0,3,1,0,0
2011,Maine,42,9,6,9,0,33,0,0,104,54,22,11,32,26,0,48,4,2,2,0,2,43,3,0,0,0,0,50,3,0,3
2011,Marshall Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,Maryland,102,83,66,82,1,19,0,0,313,197,76,59,121,92,1,246,105,74,14,5,9,228,1,0,0,0,0,115,4,0,1
2011,Massachusetts,298,212,153,209,3,79,7,7,1237,853,29,25,824,704,180,582,48,22,18,1,16,438,21,1,1,0,0,204,126,4,17
2011,Michigan,245,160,120,122,23,84,1,0,212,100,12,10,88,69,22,77,58,35,5,0,5,51,14,8,4,0,0,90,21,1,13
2011,Minnesota,50,28,22,24,4,16,6,0,46,22,2,2,20,18,2,38,28,1,1,0,1,36,5,2,0,0,0,22,1,0,5
2011,Mississippi,59,32,30,32,0,27,0,0,46,41,11,3,30,21,0,24,12,6,6,3,2,18,2,1,0,0,0,5,0,0,2
2011,Missouri,66,54,28,53,1,11,1,0,41,25,7,3,18,15,3,56,34,15,2,2,0,43,5,5,4,0,0,13,11,0,5
2011,Montana,5,2,2,2,0,2,1,0,2,2,2,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0
2011,Nebraska,10,9,5,8,1,1,0,0,8,7,0,0,7,6,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
2011,Nevada,20,16,5,14,2,1,3,1,5,4,0,0,4,4,0,77,70,48,2,2,0,58,9,9,8,0,0,1,17,0,9
2011,New Hampshire,66,32,17,31,0,34,0,0,29,23,9,7,14,11,2,41,3,3,6,3,3,30,0,0,0,0,0,4,5,0,0
2011,New Jersey,194,117,35,107,9,51,26,9,688,604,324,75,280,103,8,801,20,17,42,30,11,632,10,4,0,1,0,76,127,0,9
2011,New Mexico,47,23,21,23,0,24,0,0,51,46,27,21,19,19,1,36,6,6,3,0,3,28,0,0,0,0,0,4,5,0,0
2011,New York,229,150,123,144,6,78,1,0,253,157,5,5,152,130,27,6116,5469,480,693,134,460,4456,32,24,5,5,2,69,967,9,18
2011,North Carolina,79,55,42,51,3,24,0,0,59,37,15,12,22,16,4,56,33,14,4,0,4,45,8,7,2,0,0,18,7,2,6
2011,North Dakota,2,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,Northern Marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Ohio,251,59,36,47,12,165,27,3,144,106,51,28,55,43,5,120,52,23,3,2,1,110,9,5,4,0,0,33,7,0,9
2011,Oklahoma,18,18,5,13,0,11,0,0,15,12,0,0,12,11,0,13,6,4,0,0,0,11,1,1,0,0,0,3,2,0,1
2011,Oregon,36,17,8,11,6,19,0,0,58,38,15,12,23,22,10,22,22,1,0,0,0,15,0,0,0,0,0,10,7,0,0
2011,Pennsylvania,270,123,81,123,0,140,7,7,373,198,22,12,176,146,38,838,374,131,64,12,52,646,26,6,3,3,1,137,128,1,22
2011,Puerto Rico,86,75,46,69,6,11,0,0,652,454,411,302,43,42,4,1781,785,439,887,589,138,815,2,1,1,0,0,194,79,0,2
2011,Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Rhode Island,27,21,13,21,0,6,0,0,50,26,0,0,26,23,0,39,20,16,3,1,2,36,1,0,0,0,0,24,0,0,1
2011,South Carolina,36,25,25,25,0,11,0,0,5,2,0,0,2,2,0,7,6,3,0,0,0,7,2,1,0,0,0,3,0,0,2
2011,South Dakota,4,3,2,2,0,1,0,0,4,4,1,0,3,3,0,4,4,0,2,0,2,2,0,0,0,0,0,0,0,0,0
2011,Tennessee,95,50,18,50,0,35,10,10,32,19,9,7,10,7,0,69,13,9,3,0,3,66,3,1,1,0,0,13,0,0,3
2011,Texas,301,168,69,163,5,120,13,10,319,188,119,90,69,55,71,359,152,45,13,2,10,281,15,11,5,4,1,60,65,1,10
2011,Utah,11,10,7,9,1,0,1,0,3,3,2,0,1,1,0,6,4,3,2,1,1,4,0,0,0,0,0,0,0,0,0
2011,Vermont,24,11,8,10,1,13,0,0,52,47,19,12,28,22,0,26,0,0,3,3,0,23,0,0,0,0,0,5,0,0,0
2011,Virgin Islands,1,0,0,0,0,1,0,0,2,1,1,1,0,0,1,8,5,4,1,1,0,6,0,0,0,0,0,0,1,0,0
2011,Virginia,136,110,61,93,17,26,0,0,125,107,12,6,95,75,0,45,33,17,3,2,1,35,3,2,2,0,0,18,7,0,3
2011,Washington,66,56,47,56,0,8,2,0,60,43,13,12,30,24,1,93,46,16,9,4,5,72,12,7,5,1,0,16,12,0,11
2011,West Virginia,41,17,15,15,2,24,0,0,23,18,1,0,17,15,0,15,14,13,2,0,2,13,0,0,0,0,0,5,0,0,0
2011,Wisconsin,63,51,25,51,0,12,0,0,49,35,9,4,26,25,0,31,10,5,2,1,1,29,3,0,0,0,0,14,0,0,3
2011,Wyoming,15,11,9,10,1,4,0,0,7,6,0,0,6,1,0,3,2,1,1,0,1,2,1,1,1,0,0,1,0,0,1
